id,cpr,pais,nam,fna,fuc,ose,iko,ita,ana,thr,nom_ciudad,x,y
155,Buenos Aires,Argentina,Ezeiza,Aeropuerto de Ezeiza Ministro Pistarini,con vuelos internacionales,AA2000,SAEZ,EZE,EZE,INTL,Ezeiza,-58.542461865561364,-34.812287473439504
121,Chubut,Argentina,Comodoro Rivadavia,Aeropuerto de Comodoro Rivadavia General Enrique Mosconi,,AA2000,SAVC,CRD,CRV,INTL,Comodoro Rivadavia,-67.46553279460962,-45.78494248652403
123,Entre RÃ­os,Argentina,Concordia,Aeropuerto de Concordia Comodoro Juan JosÃ© Pierrestegui,sin vuelos regulares,Municipalidad de Concordia,SAAC,COC,DIA,NAC,Concordia,-57.997305,-31.29702012836899
125,La Pampa,Argentina,General Pico,Aeropuerto de General Pico,sin vuelos regulares,AA2000,SAZG,GPO,GPI,NAC,Gral. Pico,-63.75972322219686,-35.69126094473591
127,RÃ­o Negro,Argentina,General Roca,Aeropuerto de Gral. Roca Dr. Arturo H. Illia,sin vuelos regulares,Aero Club General Roca,SAHR,GNR,GNR,NAC,Gral. Roca,-67.61889255507985,-38.999443252004646
129,Buenos Aires,Argentina,Junin,Aeropuerto de Junin,sin vuelos regulares,Municipalidad de Junin,SAAJ,JNI,NIN,NAC,JunÃ­n,-60.93012358057873,-34.54567602427661
131,Buenos Aires,Argentina,La Plata,Aeropuerto de La Plata,sin vuelos regulares,Provincia de Buenos Aires,SADL,LPG,PTA,NAC,La Plata,-57.89538079028936,-34.97610933109367
133,Mendoza,Argentina,Malargue,Aeropuerto de MalargÃỳe Comodoro D. Ricardo Salomon,sin vuelos regulares,AA2000,SAMM,LGS,MLG,NAC,MalargÃỳe,-69.58019922520845,-35.48641058935752
135,Corrientes,Argentina,Paso de los Libres,Aeropuerto de Paso de los Libres,sin vuelos regulares,AdministraciÃġn Nacional de AviaciÃġn Civil (ANAC),SARL,AOL,LIB,INTL,Paso de los Libres,-57.152067419421286,-29.689268507748903
137,Santa Fe,Argentina,Reconquista,Aeropuerto de Reconquista,,AA2000,SATR,RCQ,RTA,NAC,Reconquista,-59.68138908166927,-29.21045707111053
